Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
form,product,,side,,door,family,community,,hour
person,,,problem,information,fact,,thing,country,law
,school,state,information,system,law,water,data,result,health
side,thing,business,health,point,name,kind,,night,kind
week,point,water,world,thing,game,,word,research,law
face,word,,time,month,head,year,friend,food,line
system,air,family,table,house,,law,water,area,health
,line,month,event,,problem,air,world,view,mother
,end,,end,air,story,,love,school,data
member,,,girl,,,moment,level,city,door
data,service,job,family,,class,area,right,love,road
moment,man,area,level,day,business,fact,form,line,company
hand,fact,world,teacher,issue,program,paper,,head,
music,team,home,result,question,form,case,family,member,car
moment,person,line,man,line,moment,car,idea,kind,product
area,face,head,issue,,money,,,water,money
case,house,kind,level,face,service,week,face,hand,group
service,country,road,,,room,,level,,story
place,place,week,game,family,market,part,company,,field
idea,girl,question,side,,book,problem,paper,country,day
fact,side,table,air,friend,,word,girl,head,room
mother,food,event,,woman,product,hand,paper,friend,minute
story,form,study,,word,fact,love,field,government,place
,girl,thing,student,city,,school,,time,water
way,,hand,,month,,result,kind,word,person
school,student,,car,paper,school,data,life,,
paper,reason,guy,friend,game,information,right,research,week,group
program,problem,field,minute,,area,business,program,question,
life,man,,health,,name,word,business,form,book
house,head,,,,guy,man,team,question,word
water,,product,issue,member,,paper,line,family,side
country,minute,class,,mother,word,woman,idea,,country
event,year,health,point,book,research,,product,guy,door
team,book,idea,,head,road,girl,business,issue,form
,hand,work,view,system,,week,problem,company,door
world,view,game,reason,water,name,research,teacher,friend,idea
,,form,fact,eye,,family,,place,
government,moment,,end,reason,car,student,line,water,result
side,water,data,state,,,,girl,food,part
state,field,table,,hour,week,family,view,,minute
house,week,idea,money,game,company,home,view,right,word
office,,woman,life,student,,person,door,city,place
week,water,money,market,number,,,system,rate,team
service,system,week,road,,life,money,mother,,word
business,guy,,word,man,head,,member,person,business
,,question,night,,eye,,,night,city
house,,country,,team,,,name,question,country
,point,thing,car,air,business,year,head,office,rate
night,end,health,woman,result,,business,guy,company,class
market,class,,,name,office,fact,world,point,hand
country,question,right,product,study,event,food,,company,road
reason,area,service,,music,part,,program,woman,eye
program,,,point,head,,paper,,line,home
part,student,school,,data,,student,woman,story,issue
field,house,,job,problem,,result,company,hour,end
information,,case,home,,,year,,book,business
government,side,team,money,line,point,year,,,system
research,,,,minute,,man,,student,event
word,name,,hand,team,road,time,,company,community
minute,result,service,eye,community,,study,,health,
friend,game,night,form,data,,number,,class,problem
job,team,group,,teacher,community,love,,product,
community,paper,area,school,service,music,,moment,,number
,door,,information,case,number,level,state,car,job
line,week,work,life,house,,community,service,study,
,world,eye,,state,,,form,,research
hand,door,world,game,student,world,,kind,year,
woman,,study,,team,,,end,right,form
water,school,love,,level,reason,,,,child
child,business,,,data,food,,way,game,water
health,community,,,,year,,work,,point
,water,family,group,system,field,book,,,view
story,program,business,paper,field,field,,air,place,month
food,rate,group,,girl,story,friend,student,,
reason,part,job,day,teacher,state,work,,team,
place,end,house,,data,name,week,,eye,rate
child,result,business,case,book,game,result,house,information,data
child,company,team,woman,point,life,issue,woman,part,company
place,man,way,result,,study,month,day,,car
car,service,story,child,,,point,government,country,month
side,minute,program,company,hour,road,hand,hand,face,class
rate,level,,hand,rate,road,,view,study,room
love,power,side,family,business,face,,question,door,air
law,time,,man,business,study,work,company,question,
,side,year,water,food,community,fact,place,,
,world,city,market,,,food,music,word,
,minute,study,question,,market,product,,city,part
family,,month,,,,law,office,system,water
class,life,,result,money,system,thing,,job,home
business,class,line,time,,power,,,information,
right,hand,year,business,side,thing,life,power,name,study
fact,fact,point,reason,family,book,,health,,
service,road,hand,,life,minute,side,paper,woman,
water,research,group,power,,case,company,door,food,case
idea,money,teacher,money,case,,,rate,student,money
law,life,health,,event,story,case,market,,fact
government,company,number,level,community,market,class,love,field,year
face,group,guy,end,member,water,,month,minute,
book,work,,love,hand,water,part,level,way,
problem,word,mother,teacher,group,,fact,,,air
music,,group,place,power,number,air,service,case,
research,system,night,group,teacher,month,eye,city,minute,
child,program,,home,road,house,kind,door,team,
,,child,book,line,part,number,door,question,fact
fact,event,room,door,market,,car,level,book,year
year,point,right,child,,music,road,result,health,place
team,world,rate,water,hour,,girl,,time,child
result,,part,money,,,system,event,world,year
,,friend,view,place,money,city,office,girl,hour
case,,mother,system,line,room,book,office,money,point
school,rate,office,day,student,music,rate,room,,guy
level,right,moment,,,field,,mother,home,health
water,room,state,field,road,hour,name,air,friend,person
work,group,,,,area,night,,family,class
day,,,issue,place,girl,level,service,country,
,head,,market,book,man,,event,problem,music
student,job,door,,friend,,paper,service,fact,group
house,,guy,eye,minute,moment,business,,,mother
month,name,view,part,reason,office,form,,month,government
fact,hand,form,research,air,student,,number,point,book
,,power,program,line,hand,line,thing,,
week,,,,work,end,friend,hand,power,
,car,part,home,music,woman,person,fact,government,side
fact,,car,city,country,face,study,person,case,eye
service,class,country,government,reason,water,thing,,case,life
,man,table,,job,,government,,,end
head,,house,hour,,book,company,reason,number,end
problem,child,,water,,point,company,home,man,product
fact,team,view,head,,car,market,hand,,
world,love,part,,friend,point,mother,service,issue,
name,fact,field,government,form,minute,,,road,head
idea,paper,,,child,night,paper,city,form,product
thing,point,way,member,system,side,product,idea,company,study
service,food,,place,house,,study,service,,word
health,job,state,product,office,company,event,city,government,kind
water,thing,woman,love,community,product,word,,woman,way
field,community,,moment,head,minute,girl,,paper,minute
mother,reason,head,form,data,case,head,week,mother,research
,hour,man,way,business,,information,,country,right
business,,hand,hand,face,field,market,night,world,office
,student,food,name,man,music,hand,house,hand,
office,business,teacher,,person,health,level,study,home,hand
,week,view,year,face,country,time,teacher,form,health
car,head,person,information,hand,world,girl,case,product,work
teacher,,level,service,kind,student,school,study,,hand
case,friend,money,form,fact,,area,,student,
mother,girl,,,thing,kind,month,business,rate,time
,guy,water,water,work,program,office,event,person,
guy,group,program,state,,head,study,line,student,business
,power,,game,study,love,member,,place,system
law,door,water,door,,right,system,kind,food,event
study,month,,minute,,,job,week,guy,time
,market,month,year,moment,hour,fact,market,,day
level,,,,hour,point,health,state,idea,area
event,work,side,product,team,,thing,number,,day
thing,view,job,community,group,system,line,friend,team,job
,,,home,event,,mother,world,community,family
thing,love,fact,thing,,woman,home,hand,minute,issue
,,word,,data,form,health,school,side,place
month,,,side,moment,time,team,research,time,night
program,life,view,world,money,field,,friend,time,book
place,,girl,,company,,love,area,issue,product
study,,air,data,room,,child,hand,game,eye
office,teacher,name,,,,number,team,,event
field,,minute,water,field,month,,,,music
city,hour,car,line,,moment,area,problem,problem,story
area,product,country,product,,law,,,place,
money,,,field,way,community,work,food,service,field
mother,,,end,,form,family,issue,car,number
head,,work,guy,head,,word,study,money,area
eye,system,,state,view,view,data,research,office,
power,hand,minute,,power,,week,home,hour,guy
money,,way,business,office,man,year,idea,reason,business
teacher,door,law,class,money,way,reason,research,home,
,hand,child,hand,story,end,class,,,
product,government,air,family,school,food,person,room,door,water
friend,,child,,person,water,,,story,month
,system,,room,country,,service,,team,end
team,right,minute,reason,face,state,water,,idea,class
child,power,,group,,eye,community,,minute,job
level,love,government,member,,kind,hour,form,,time
,level,area,word,number,world,part,music,night,business
house,level,,product,book,,thing,,,road
woman,health,result,,love,idea,line,week,program,part
house,,,member,world,way,time,,water,side
music,,health,family,guy,life,office,door,level,
home,side,case,car,service,result,law,word,product,game
point,view,night,power,kind,question,right,water,,idea
house,life,,study,,team,,love,country,community
side,room,rate,,state,water,eye,result,,
power,,city,teacher,city,,,,team,
,hand,paper,job,state,line,research,company,friend,place
,,city,,reason,market,,hour,word,level
field,service,form,day,story,day,car,law,way,office
hour,love,health,,kind,point,air,,air,end
data,,event,mother,family,day,fact,name,health,thing
system,power,company,question,point,word,room,study,,city
food,line,water,love,service,food,guy,government,,data
team,minute,paper,kind,,point,,road,view,power
road,business,name,government,event,city,,level,friend,moment
end,system,group,child,game,,home,problem,,health
face,water,name,teacher,team,research,life,service,head,name
,,rate,state,reason,reason,friend,field,end,product
year,problem,,kind,,food,,moment,problem,mother
,money,time,paper,water,side,,,team,water
year,month,paper,book,hand,world,form,,problem,car
thing,company,form,moment,student,,hand,family,school,head
world,road,market,side,day,office,,,house,life
child,game,world,month,,,number,hand,,
view,case,room,student,,city,,law,week,result
product,water,,,money,,,group,moment,rate
field,,book,guy,thing,program,way,story,fact,
office,research,book,guy,field,,community,,,game
hour,money,,line,side,year,,way,data,
community,food,head,girl,team,,,music,area,
head,name,place,company,point,money,,,law,woman
moment,water,right,rate,business,mother,day,table,area,
head,hand,law,time,night,,number,time,class,community
,government,face,student,member,love,way,level,case,data
class,head,hand,door,result,business,table,,city,member
,rate,,part,thing,city,hand,friend,government,paper
story,teacher,family,,government,door,love,year,year,story
program,company,reason,music,,job,level,,girl,water
hand,kind,side,mother,house,,,member,year,story
,issue,reason,,law,night,system,right,line,team
,program,research,water,event,research,minute,,,
school,data,product,,place,friend,man,side,teacher,story
office,game,,,woman,,year,family,night,part
result,right,case,right,,car,house,child,,level
government,line,market,,table,,hour,person,idea,
teacher,eye,number,water,water,group,member,problem,,
table,member,government,kind,girl,music,guy,,love,team
,area,place,,right,hand,,child,health,game
team,family,minute,result,world,door,room,office,hour,market
night,,health,community,name,,,,government,music
group,,night,reason,,hand,,man,question,line
way,door,power,,right,,,health,life,
minute,day,home,food,field,,service,head,world,field
,idea,money,food,form,office,table,event,name,love
,home,program,teacher,teacher,company,issue,company,business,idea
night,night,,number,game,week,water,number,love,year
,team,name,issue,,teacher,view,work,health,guy
teacher,child,end,night,water,case,study,power,table,house
friend,music,,reason,teacher,music,hand,face,door,line
law,,study,,music,,woman,paper,market,law
money,,,,year,line,,case,result,
end,study,,,name,,school,reason,world,paper
book,family,child,,market,number,time,,night,moment
,friend,event,door,mother,student,,name,person,life
,way,mother,person,team,country,,end,,
,hand,water,person,,name,view,family,name,member
school,,child,case,time,road,night,,,field
product,,,food,face,friend,hand,face,government,team
company,power,service,field,child,car,work,man,water,problem
student,,end,life,name,field,,hand,book,product
moment,,head,way,case,,event,love,city,hour
thing,friend,money,,member,water,,,,
class,water,child,,,story,minute,word,world,thing
company,idea,member,reason,health,,teacher,question,,city
number,power,room,,,case,music,service,job,night
family,area,end,,end,city,,world,number,law
form,company,state,law,name,room,way,,point,
girl,question,water,,part,part,word,kind,family,road
company,place,,information,government,power,teacher,fact,form,community
,,child,level,service,,government,,system,money
event,game,,data,number,girl,company,car,room,teacher
,,idea,paper,line,country,way,idea,door,rate
table,level,,,,table,month,,,business
rate,,name,fact,market,class,girl,love,issue,head
face,,form,,job,hour,,water,result,
school,world,issue,home,,,paper,woman,,state
,rate,service,head,view,food,market,way,,woman
government,question,rate,,problem,team,game,,,table
,,city,,,,time,company,power,
,place,service,child,office,room,,way,line,night
woman,paper,question,friend,office,city,teacher,number,question,product
health,law,product,water,case,system,story,life,member,game
,government,,,thing,city,city,school,work,business
government,room,room,,program,girl,power,house,number,
state,hand,person,day,person,road,kind,office,,
book,,issue,reason,,,place,form,,water
,,kind,case,,,eye,issue,thing,field
day,state,product,result,job,,,door,person,kind
road,,story,end,event,member,game,product,point,research
state,,business,paper,work,place,team,market,water,day
group,city,name,child,view,job,state,man,information,
head,data,program,,,,part,man,information,
name,food,love,air,school,moment,level,,road,
person,mother,year,business,,government,girl,market,game,student
,head,hand,,,life,time,program,state,game
company,game,part,love,road,child,mother,month,money,program
country,,business,city,room,game,,,right,
house,part,,work,,place,government,hand,book,study
hand,fact,fact,result,question,friend,,,paper,child
,problem,,work,,mother,life,music,house,moment
,paper,data,government,office,research,school,road,work,moment
,system,table,thing,,place,road,health,moment,
,law,question,woman,team,result,reason,time,,market
day,result,information,power,fact,end,kind,month,study,
side,hand,,,car,end,student,study,woman,money
word,road,issue,issue,head,work,,state,study,research
door,road,place,,side,,food,,member,house
,,head,game,man,,team,friend,music,moment
,,paper,kind,form,issue,,fact,water,time
information,,service,program,air,month,room,market,eye,home
state,thing,,right,food,paper,world,company,,idea
thing,house,door,,food,area,law,teacher,result,paper
end,hand,,life,class,house,reason,class,person,
team,water,year,research,,,,house,woman,point
state,moment,year,,school,door,year,product,guy,month
,state,field,question,,,government,,business,way
job,reason,,hour,area,teacher,government,face,,car
kind,air,,,research,head,,book,,
place,,product,table,,game,water,product,,side
room,guy,,friend,power,,hand,,information,
,day,,,,friend,family,group,form,face
business,student,girl,,study,house,book,,problem,thing
power,month,case,,team,home,love,data,job,head
hand,guy,,,event,month,service,area,house,music
hand,class,life,class,side,teacher,point,market,member,
way,man,name,music,place,home,reason,end,end,state
friend,word,food,man,book,right,data,car,,food
level,thing,field,minute,person,water,team,number,eye,girl
name,area,point,product,point,result,water,,year,world
girl,family,market,,way,minute,,information,car,office
day,,reason,,line,right,house,,game,
hand,,service,book,,,product,,idea,system
,information,mother,book,car,part,table,air,class,work
power,name,rate,,student,,country,door,,case
,world,paper,word,,friend,car,idea,night,country
money,government,community,,system,room,,life,,face
,teacher,,product,,,friend,data,week,woman
work,number,head,paper,mother,study,paper,,,day
form,teacher,health,,health,,car,love,,
,,,head,door,,family,,week,point
part,area,year,issue,,water,group,,money,
mother,community,market,study,head,problem,girl,hand,name,community
week,group,office,government,paper,student,health,,home,
,market,fact,rate,thing,student,day,form,music,night
work,case,point,,end,,eye,city,result,
event,road,head,paper,face,group,road,country,line,information
question,,class,,city,moment,name,side,part,program
class,health,field,idea,,moment,government,air,paper,night
love,life,,team,woman,power,kind,rate,kind,service
house,,friend,issue,power,night,office,government,week,
kind,moment,school,fact,problem,,door,,job,
idea,child,,community,product,face,company,air,job,thing
,name,head,way,class,,way,girl,form,child
,information,water,,,,,face,,case
eye,,,car,door,thing,data,week,,state
house,eye,child,fact,food,friend,number,end,hand,student
house,,,family,level,class,hour,law,head,hour
friend,year,food,rate,information,music,,view,,
,,home,fact,,team,school,,class,case
market,name,part,car,right,hand,money,home,line,moment
form,man,member,line,,way,,,,minute
,water,week,,view,,city,result,hand,product
,,,,door,child,problem,rate,,reason
hand,side,part,eye,mother,,,food,,side
,word,point,guy,rate,,view,,,hand
issue,data,case,class,music,water,money,home,product,research
area,,,water,water,community,guy,,head,water
data,,product,market,part,money,hand,,head,eye
,,side,number,work,day,week,number,student,month
day,work,,,government,end,family,paper,product,
,office,love,problem,research,woman,,right,air,
,friend,girl,year,car,mother,book,work,book,kind
woman,,word,table,month,girl,food,side,part,
,person,school,government,,hand,night,,student,house
result,head,minute,information,fact,field,,way,service,team
issue,company,hour,,service,point,market,office,business,
,product,end,,mother,,way,guy,water,man
girl,line,road,water,hour,team,,study,,company
week,night,head,door,,story,,study,word,
,company,part,city,mother,room,right,office,child,country
student,rate,,group,thing,data,,house,,hour
office,end,government,world,,program,,,office,part
door,,,,reason,,eye,door,side,community
group,service,room,hand,place,end,area,,,room
,door,way,story,friend,idea,company,family,face,
moment,event,moment,side,group,,data,house,food,
hand,,face,company,year,question,end,,night,home
job,,air,way,point,point,result,,,
side,table,name,road,program,paper,food,head,kind,idea
,student,issue,,music,,fact,event,,money
hand,eye,team,,,point,event,,class,water
,,system,air,night,child,home,love,,table
,reason,week,house,law,day,room,fact,program,night
door,life,research,view,event,minute,water,face,head,
water,city,moment,friend,hand,market,problem,view,night,health
life,,month,year,study,job,food,face,market,place
form,kind,right,product,guy,state,time,,place,study
,home,system,,right,member,,number,,home
money,,guy,class,room,point,system,water,,year
water,result,office,event,way,person,issue,paper,,
city,air,eye,,school,,year,,,hand
time,guy,level,,girl,eye,power,,program,water
,door,air,day,world,work,result,side,law,city
music,system,girl,right,road,girl,power,man,hour,game
problem,state,friend,,teacher,problem,day,law,face,problem
,,end,group,minute,friend,child,class,,world
,end,door,business,part,office,kind,moment,data,
,year,game,,,company,table,rate,,idea
,food,work,,family,program,level,food,,place
music,hand,air,,information,class,thing,product,,year
community,water,month,food,,,book,fact,,
way,job,kind,,office,job,,head,work,area
road,country,class,company,side,woman,government,fact,,child
program,night,event,table,study,mother,system,,office,
question,business,man,reason,room,year,,,law,woman
,hand,road,door,,line,,air,,hand
air,idea,,team,data,part,case,program,,
,,,,issue,,girl,minute,home,member
result,name,member,table,study,night,world,family,,hand
mother,food,community,teacher,,,number,class,information,case
business,hand,way,day,business,group,game,,work,
,part,girl,teacher,child,house,state,door,reason,job
girl,problem,world,state,question,student,,part,moment,person
problem,student,car,child,month,side,guy,game,money,car
work,car,money,result,,view,,idea,story,room
world,week,,hour,car,moment,hand,information,job,
point,game,,issue,,program,teacher,,result,country
country,member,,guy,,book,product,,,person
,,law,hand,time,fact,time,form,class,fact
research,night,table,,eye,information,hand,room,case,
form,event,hour,school,hour,service,road,road,job,guy
member,,work,person,time,health,part,minute,,world
thing,,problem,area,right,student,area,,water,point
,woman,end,book,water,part,event,thing,area,field
eye,line,word,,hand,point,line,teacher,night,fact
moment,government,moment,point,community,water,issue,,,word
time,service,,,,road,data,area,way,love
health,case,case,student,problem,,,market,face,table
view,,girl,government,,area,,end,door,door
,,office,level,fact,day,,team,story,water
world,way,,person,minute,line,paper,air,state,
service,,house,field,service,problem,day,part,,
research,guy,hand,love,year,service,,,person,hand
research,question,child,fact,word,minute,girl,part,student,data
minute,level,music,,job,question,table,hand,system,word
data,market,time,case,place,,thing,job,,form
level,study,team,area,point,room,event,word,,
information,area,field,guy,view,friend,case,table,company,water
health,guy,line,,research,line,house,office,paper,service
government,question,door,state,information,event,kind,team,government,business
government,day,point,,,way,home,story,love,music
year,world,,case,,table,product,month,family,person
music,part,home,city,issue,part,,,,head
service,issue,thing,,number,hour,thing,hour,house,story
girl,law,hand,woman,name,air,group,research,way,government
,group,end,law,guy,,system,field,,
love,family,,service,hand,study,,,,road
,,,school,problem,idea,family,,man,class
,life,kind,minute,friend,,hand,study,number,paper
view,rate,minute,world,,fact,eye,name,issue,
friend,book,number,country,girl,girl,door,right,case,office
moment,name,food,life,hour,week,fact,,,
hand,life,friend,book,business,,air,,program,company
way,face,story,research,child,view,line,government,guy,
life,,eye,car,health,food,day,,power,state
mother,eye,month,head,head,home,market,right,number,money
group,hand,information,government,room,table,friend,year,,hand
,point,community,person,office,member,way,information,system,book
,law,home,child,community,class,system,guy,family,product
,world,,word,world,member,student,law,right,teacher
month,food,girl,member,woman,,view,product,week,power
program,job,issue,year,number,point,night,,guy,event
issue,,part,day,school,road,government,person,job,air
woman,word,world,level,word,road,hand,,thing,
idea,head,community,month,,,city,team,idea,product
guy,question,way,family,friend,data,,problem,information,school
,thing,question,question,friend,student,girl,city,woman,point
family,night,hand,rate,,power,idea,law,guy,friend
issue,woman,,point,time,love,night,love,program,water
water,day,information,,business,idea,work,business,road,
week,,,night,,paper,company,month,,work
part,air,data,community,minute,water,research,year,kind,event
,end,problem,,,,country,problem,program,hand
,woman,study,paper,research,office,,man,kind,
table,week,form,member,,,area,,state,problem
girl,,product,work,power,road,mother,work,,minute
,class,country,group,family,girl,team,student,,story
water,friend,level,market,reason,idea,child,number,house,music
,thing,night,part,member,house,,member,program,water
eye,,game,country,,thing,level,food,teacher,
,,side,hand,car,member,money,food,right,job
reason,money,company,,side,work,money,mother,city,
,year,love,,,part,,thing,face,woman
,,office,,office,book,mother,result,system,world
,program,minute,study,road,game,house,product,food,service
man,road,music,air,market,life,end,,,way
place,,world,system,business,door,business,area,,
minute,car,level,head,student,government,school,power,form,office
name,,country,home,,office,rate,office,girl,water
,love,music,friend,information,,room,food,business,reason
book,point,system,night,,office,,month,kind,
form,day,,information,mother,data,paper,name,book,
,level,field,,class,water,,part,question,
class,life,,,information,,,business,,
,world,mother,view,,service,line,product,community,water
,,head,study,night,moment,,class,girl,love
,minute,line,side,man,result,car,community,paper,child
,information,door,woman,hand,line,word,result,hand,door
program,road,field,book,product,,home,minute,love,story
time,hour,hand,hour,girl,,world,child,eye,house
,reason,,door,game,home,door,,school,water
country,money,work,room,year,,,,government,paper
,office,fact,book,city,head,form,part,love,love
road,state,view,hand,man,job,,mother,area,child
idea,,time,water,service,life,team,,student,word
year,class,result,,minute,,hand,,case,
,program,man,,,idea,,company,result,head
state,,data,water,business,part,power,school,room,love
place,case,world,,story,,,,hour,law
,hand,,question,place,,,,,love
man,business,community,,week,,,paper,week,mother
place,book,eye,door,child,paper,,,person,story
game,minute,hand,community,game,thing,book,health,way,team
end,company,day,home,,water,problem,product,,water
problem,,power,number,place,job,field,hand,program,class
,result,hand,government,home,community,office,,side,girl
music,hand,face,paper,power,issue,case,way,girl,result
result,home,company,,,name,,person,room,car
friend,,company,country,city,fact,form,,health,
,information,event,,,health,child,,state,family
country,,,life,time,idea,room,,government,food
word,work,way,air,state,world,,water,point,world
idea,house,thing,,,reason,job,result,event,thing
way,girl,number,group,,market,water,issue,,rate
country,girl,law,music,year,business,year,class,idea,level
day,,,way,community,,hour,,issue,team
,world,,issue,paper,hand,kind,,,state
head,program,product,hand,area,book,side,home,government,
question,man,system,form,company,market,fact,,place,hand
,man,group,,research,job,field,government,year,night
,,,,reason,place,water,year,side,woman
,place,country,story,reason,result,woman,right,,system
,,year,face,question,area,state,week,minute,law
,right,state,teacher,member,team,,guy,table,
home,fact,,road,view,team,government,,man,health
friend,,,,face,,book,game,person,work
story,,market,name,event,minute,mother,line,friend,eye
woman,money,friend,,woman,market,name,community,word,
woman,minute,air,community,job,hand,office,,,water
,,,fact,man,,house,home,,member
school,book,work,fact,product,,data,program,,home
fact,,team,,eye,,hand,program,government,information
line,business,event,system,,room,,information,point,law
kind,program,road,,number,power,air,state,reason,name
side,government,view,issue,love,home,day,law,side,word
night,number,event,person,child,city,kind,night,system,person
music,power,member,field,eye,,child,man,,
work,child,paper,eye,problem,,house,,month,view
,,,paper,home,,table,rate,minute,place
,event,job,program,woman,hand,moment,,business,
,guy,water,woman,side,,child,man,family,guy
system,,power,person,group,,woman,,air,mother
,class,research,minute,water,issue,power,,paper,student
word,company,school,,job,way,girl,area,information,
time,hand,number,service,company,minute,line,,,month
teacher,room,rate,child,point,state,country,information,story,year
table,,student,,,rate,man,way,,work
life,job,way,system,school,question,,,part,girl
market,table,,,power,,,job,man,road
reason,power,question,government,group,mother,,water,day,number
word,family,face,day,kind,child,issue,business,eye,world
minute,thing,,kind,right,word,food,class,,question
eye,team,issue,,name,face,person,research,class,
face,mother,service,country,student,house,,office,student,day
point,information,hour,face,day,business,,state,hand,power
program,name,,power,line,,,team,right,student
hour,team,member,,,,,study,,
school,guy,,state,man,job,field,company,student,
work,power,level,,day,hand,music,music,,case
,,research,service,state,,number,,moment,event
,,system,,class,team,research,government,,room
company,,part,minute,,side,guy,question,way,rate
month,,information,form,road,number,family,rate,side,country
community,,girl,year,teacher,office,word,data,home,market
,law,state,kind,person,life,,class,idea,state
water,,face,week,teacher,eye,,student,member,issue
friend,work,kind,student,service,girl,,head,area,road
problem,hand,,government,result,,community,problem,reason,
,,student,data,group,water,member,day,job,
word,information,service,,right,place,power,community,,mother
face,group,question,minute,,,data,mother,,point
home,man,rate,hand,member,hand,hand,,,side
paper,school,area,reason,program,issue,market,food,problem,system
place,night,system,field,road,data,end,,side,thing
business,thing,community,,power,hand,book,,country,man
music,rate,,,child,rate,,hand,water,
power,face,world,,,community,moment,school,,form
data,office,company,,case,group,book,group,idea,
